ID,First_Name,Last_Name,Age,Gender,Country,State,City,Department,Salary,Experience_Years,Joining_Date,Performance_Score,Email,Phone
515,Ishaan,Verma,43,Female,Canada,UP,Lucknow,Engineering,2499927,10,2022-07-05,2.66,ishaan.verma510@example.com,8413287302
1062,Vivaan,Nair,52,Male,Australia,Tamil Nadu,Mumbai,HR,2499641,19,2016-06-28,4.24,vivaan.nair1062@example.com,9015634481
1864,Arjun,Patel,43,Male,USA,Tamil Nadu,Mumbai,HR,2497020,17,2024-06-06,3.78,arjun.patel1864@example.com,7307518238
1495,Vihaan,Singh,49,Male,Australia,Karnataka,Mumbai,Engineering,2496808,18,2017-02-10,4.27,vihaan.singh1495@example.com,8114927121
818,Aditya,Singh,43,Male,Canada,Tamil Nadu,Hyderabad,HR,2496347,19,2022-08-30,1.88,aditya.singh818@example.com,7840143289
1910,Kabir,Khan,39,Female,USA,Karnataka,Lucknow,Finance,2495359,20,2018-10-03,4.69,kabir.khan1910@example.com,8258629400
1612,Ishaan,Khan,46,Male,Canada,UP,Lucknow,HR,2493496,7,2023-06-24,4.01,ishaan.khan1612@example.com,8622420038
932,Sai,Nair,21,Female,Australia,Karnataka,Delhi,Sales,2492866,12,2017-09-20,4.58,sai.nair932@example.com,9271190474
992,Ishaan,Nair,29,Female,UK,UP,Lucknow,Operations,2492056,5,2019-01-17,4.92,ishaan.nair992@example.com,9314309783
988,Kabir,Verma,54,Male,Australia,Karnataka,Bangalore,Operations,2488104,20,2022-09-01,3.12,kabir.verma988@example.com,8733074823
1963,Ishaan,Patel,24,Male,Canada,Maharashtra,Lucknow,Operations,2486268,3,2022-08-27,3.09,ishaan.patel1963@example.com,8280959316
147,Kabir,Gupta,30,Male,India,Delhi,Lucknow,HR,2484969,15,2018-04-25,1.4,kabir.gupta147@example.com,7253298569
152,Vihaan,Mehta,25,Female,India,Karnataka,Chennai,HR,2484036,18,2023-11-16,4.72,vihaan.mehta152@example.com,9380376614
1613,Arjun,Reddy,51,Male,Canada,Tamil Nadu,Lucknow,Marketing,2482311,7,2022-03-22,3.3,arjun.reddy1613@example.com,7103353122
493,Arjun,Reddy,36,Female,Canada,UP,Lucknow,Marketing,2481928,9,2018-03-02,1.34,arjun.reddy493@example.com,9722564551
552,Aarav,Das,45,Male,UK,Maharashtra,Lucknow,Marketing,2481618,11,2019-01-29,3.09,aarav.das552@example.com,9928528653
482,Aarav,Nair,49,Female,Australia,Delhi,Delhi,Marketing,2481443,3,2021-04-16,2.71,aarav.nair482@example.com,9632691807
910,Reyansh,Patel,37,Male,India,Karnataka,Lucknow,Marketing,2481315,12,2024-03-12,2.19,reyansh.patel910@example.com,7025335999
779,Aditya,Khan,25,Female,UK,Tamil Nadu,Hyderabad,Marketing,2480362,20,2023-03-22,1.45,aditya.khan779@example.com,7161581972
929,Aditya,Mehta,44,Female,USA,Maharashtra,Chennai,Marketing,2477214,20,2016-01-21,3,aditya.mehta929@example.com,8598845381
260,Aarav,Reddy,33,Male,UK,Delhi,Mumbai,Engineering,2476722,6,2023-05-10,2.02,aarav.reddy260@example.com,9510531878
42,Reyansh,Sharma,53,Male,Australia,Tamil Nadu,Delhi,Marketing,2476103,6,2021-08-29,2.13,reyansh.sharma42@example.com,7448359098
93,Arjun,Patel,29,Female,USA,Delhi,Delhi,Engineering,2475117,11,2023-04-21,1.27,arjun.patel93@example.com,9620822755
1979,Aditya,Mehta,35,Female,UK,Tamil Nadu,Bangalore,Engineering,2474855,4,2015-11-12,1.96,aditya.mehta1979@example.com,8584509782
